                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2687,                 4.2725,                 1.1989,                 0.0069,                  0.289,                0.03568,                 0.0251,                 1.0246,                  3.673,                 1.1046,                0.06722,             0.00033111,             0.00033111
                      1,                 1.2834,                 3.5917,                 1.1978,                0.43896,                0.09585,                0.05544,                0.04015,                 1.0837,                 3.0729,                 1.1152,               0.034213,              0.0006578,              0.0006578
                      2,                  1.252,                  3.092,                 1.1919,                0.44222,                0.15745,                0.06937,                0.04808,                 1.0576,                 2.7764,                 1.1033,                 0.0012,             0.00097782,             0.00097782
                      3,                 1.2354,                 2.8616,                 1.1621,                0.45534,                 0.1611,                0.08617,                0.06054,                 1.0705,                 2.6367,                 1.0882,                0.00097,                0.00097,                0.00097
                      4,                 1.2361,                 2.7159,                 1.1645,                0.31821,                0.18618,                0.11384,                0.08323,                 1.0568,                 2.5304,                 1.0959,                0.00097,                0.00097,                0.00097
                      5,                 1.2086,                 2.6035,                  1.123,                0.32281,                0.19668,                0.12636,                0.09033,                 1.0764,                 2.4298,                 1.0968,                0.00096,                0.00096,                0.00096
                      6,                 1.1961,                 2.5348,                 1.1248,                0.34168,                0.21409,                0.13888,                0.10149,                 1.0433,                 2.3773,                 1.0912,                0.00095,                0.00095,                0.00095
                      7,                 1.2307,                 2.5273,                 1.1535,                0.47863,                0.16035,                0.12937,                 0.0934,                 1.0558,                 2.3371,                 1.0757,             0.00094001,             0.00094001,             0.00094001
                      8,                 1.2206,                 2.4623,                   1.14,                0.32676,                0.20313,                0.14123,                0.10308,                 1.0414,                  2.284,                 1.0709,             0.00093001,             0.00093001,             0.00093001
                      9,                  1.186,                 2.3958,                 1.1148,                0.33634,                0.20447,                0.15361,                0.11025,                 1.0313,                 2.2494,                 1.0685,             0.00092001,             0.00092001,             0.00092001
                     10,                 1.2059,                 2.3525,                  1.114,                0.57563,                0.20027,                0.16569,                0.11849,                 1.0557,                 2.2292,                 1.0731,             0.00091001,             0.00091001,             0.00091001
                     11,                 1.1879,                 2.3281,                 1.1124,                0.42484,                0.23512,                0.18082,                0.13336,                 1.0654,                 2.1689,                 1.0727,             0.00090001,             0.00090001,             0.00090001
                     12,                 1.2114,                 2.3474,                 1.1231,                0.42518,                0.22981,                0.15692,                0.11085,                 1.0437,                 2.1946,                 1.0676,             0.00089001,             0.00089001,             0.00089001
                     13,                 1.1577,                 2.2728,                 1.1066,                0.57582,                0.24365,                0.19067,                0.13397,                 1.0647,                 2.1434,                 1.0734,             0.00088001,             0.00088001,             0.00088001
                     14,                 1.1755,                  2.249,                 1.0944,                0.54661,                0.21433,                0.17455,                0.11951,                 1.0597,                 2.1562,                 1.0678,             0.00087001,             0.00087001,             0.00087001
                     15,                 1.2042,                 2.2325,                 1.1103,                0.57111,                0.25632,                0.18575,                0.13161,                 1.0768,                 2.1393,                 1.0743,             0.00086001,             0.00086001,             0.00086001
                     16,                 1.1572,                 2.1893,                  1.099,                0.56706,                0.23066,                0.19759,                0.13947,                 1.0715,                 2.0857,                 1.0737,             0.00085001,             0.00085001,             0.00085001
                     17,                 1.1771,                 2.1863,                 1.1017,                0.44284,                  0.242,                0.18159,                0.12253,                 1.0725,                 2.1316,                 1.0681,             0.00084002,             0.00084002,             0.00084002
                     18,                 1.1712,                 2.1611,                 1.0992,                0.58239,                0.21939,                0.18699,                0.12777,                 1.0743,                 2.1076,                 1.0792,             0.00083002,             0.00083002,             0.00083002
                     19,                 1.2038,                 2.1316,                 1.1032,                0.46601,                0.27932,                 0.1944,                0.13813,                 1.0584,                 2.0446,                 1.0691,             0.00082002,             0.00082002,             0.00082002
                     20,                 1.1865,                 2.1667,                  1.093,                0.52089,                0.23652,                0.19457,                0.13746,                 1.0629,                 2.0316,                 1.0711,             0.00081002,             0.00081002,             0.00081002
                     21,                 1.1485,                 2.0996,                 1.0875,                0.46051,                0.26661,                0.18714,                0.12677,                 1.0578,                  2.066,                 1.0752,             0.00080002,             0.00080002,             0.00080002
                     22,                 1.1428,                 2.0808,                 1.0887,                 0.4761,                0.24881,                0.18513,                0.13147,                  1.076,                  2.037,                  1.075,             0.00079002,             0.00079002,             0.00079002
                     23,                  1.133,                  2.004,                 1.0775,                0.47787,                0.23916,                0.19805,                0.13607,                 1.0797,                 2.0481,                 1.0757,             0.00078002,             0.00078002,             0.00078002
                     24,                 1.1469,                 2.0241,                 1.0807,                 0.4611,                 0.2471,                0.19938,                0.14012,                 1.0752,                 2.0786,                 1.0668,             0.00077002,             0.00077002,             0.00077002
                     25,                 1.1382,                 2.0221,                 1.0863,                0.54188,                0.26865,                0.20153,                0.14232,                 1.0514,                 2.0284,                 1.0609,             0.00076002,             0.00076002,             0.00076002
                     26,                 1.1144,                 1.9269,                  1.072,                0.44262,                0.26703,                0.20285,                0.13821,                 1.0506,                 1.9966,                 1.0634,             0.00075002,             0.00075002,             0.00075002
                     27,                 1.1481,                 1.9712,                 1.0759,                 0.4147,                0.27188,                 0.1923,                0.12871,                 1.0661,                 2.0484,                 1.0731,             0.00074003,             0.00074003,             0.00074003
                     28,                 1.1376,                 1.9454,                 1.0763,                0.45844,                0.24853,                 0.1951,                 0.1293,                 1.0567,                 2.1029,                 1.0681,             0.00073003,             0.00073003,             0.00073003
