                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2448,                 4.3886,                 1.1797,                0.00324,                0.29889,                0.01832,                0.01299,                 0.9678,                 3.8401,                 1.0588,                0.06722,             0.00033111,             0.00033111
                      1,                 1.1941,                 3.7498,                 1.1358,                0.40921,                0.12999,                0.05507,                0.03705,                0.99874,                 3.2445,                 1.0671,               0.034211,             0.00065495,             0.00065495
                      2,                 1.2171,                 3.2062,                 1.1659,                0.32789,                0.18872,                0.07342,                0.05263,                0.98618,                 2.8118,                 1.0584,              0.0011915,             0.00096927,             0.00096927
                      3,                 1.1953,                 2.8234,                 1.1438,                 0.4372,                0.20323,                0.09034,                0.06506,                 1.0034,                 2.6187,                 1.0622,             0.00095715,             0.00095715,             0.00095715
                      4,                 1.1919,                 2.6934,                 1.1491,                 0.4303,                0.18951,                 0.0958,                0.06781,                 1.0219,                 2.5244,                 1.0659,             0.00095715,             0.00095715,             0.00095715
                      5,                 1.1724,                 2.5927,                 1.1074,                0.36377,                0.19387,                0.11784,                0.08508,                 1.0114,                 2.4683,                 1.0682,             0.00094286,             0.00094286,             0.00094286
                      6,                 1.1381,                 2.4935,                 1.1005,                0.45724,                0.26613,                0.13254,                0.09528,                 1.0019,                 2.3725,                 1.0532,             0.00092858,             0.00092858,             0.00092858
                      7,                 1.1523,                 2.4943,                  1.104,                0.55542,                0.21771,                0.16022,                0.11717,                 1.0259,                 2.2934,                 1.0766,             0.00091429,             0.00091429,             0.00091429
                      8,                 1.1431,                 2.4221,                 1.0952,                0.50642,                0.23885,                0.15353,                0.11039,                0.99059,                 2.2395,                 1.0442,             0.00090001,             0.00090001,             0.00090001
                      9,                  1.138,                 2.3471,                 1.0794,                0.47802,                0.22519,                0.15362,                0.11396,                 1.0033,                 2.1726,                  1.054,             0.00088573,             0.00088573,             0.00088573
                     10,                 1.1325,                 2.2965,                  1.085,                0.47647,                0.24821,                0.17869,                0.13068,                0.97988,                 2.1634,                 1.0441,             0.00087144,             0.00087144,             0.00087144
                     11,                 1.1063,                 2.2533,                 1.0777,                0.46017,                0.23782,                0.16369,                 0.1152,                 1.0153,                  2.206,                 1.0541,             0.00085716,             0.00085716,             0.00085716
                     12,                 1.1134,                  2.267,                 1.0773,                0.49095,                0.20229,                0.16379,                 0.1116,                 1.0349,                 2.1727,                  1.075,             0.00084287,             0.00084287,             0.00084287
                     13,                 1.0665,                 2.1883,                 1.0705,                0.52409,                0.21321,                0.18186,                0.13144,                0.98258,                 2.1549,                  1.056,             0.00082859,             0.00082859,             0.00082859
                     14,                 1.0794,                 2.1432,                 1.0539,                0.46853,                0.24073,                0.17213,                 0.1243,                 1.0088,                 2.1007,                 1.0547,              0.0008143,              0.0008143,              0.0008143
                     15,                 1.1344,                 2.1622,                 1.0669,                0.51634,                0.25104,                 0.1891,                0.13459,                0.99124,                 2.1129,                 1.0417,             0.00080002,             0.00080002,             0.00080002
                     16,                 1.0562,                 2.0898,                 1.0497,                0.56384,                0.21735,                0.19219,                0.13642,                0.97986,                 2.0775,                 1.0366,             0.00078574,             0.00078574,             0.00078574
                     17,                 1.0791,                 2.0819,                 1.0642,                 0.5248,                0.28352,                0.20686,                 0.1455,                0.98164,                 2.0107,                 1.0469,             0.00077145,             0.00077145,             0.00077145
                     18,                  1.068,                 2.0465,                 1.0585,                0.50868,                0.31468,                0.19281,                0.13716,                0.99606,                 2.0794,                 1.0476,             0.00075717,             0.00075717,             0.00075717
                     19,                 1.0826,                 2.0237,                 1.0554,                0.49977,                0.31881,                 0.2276,                0.16565,                0.99554,                 1.9739,                 1.0502,             0.00074288,             0.00074288,             0.00074288
                     20,                 1.0738,                 2.0073,                 1.0443,                0.39795,                0.28489,                0.22132,                0.15366,                0.96492,                 1.9542,                 1.0426,              0.0007286,              0.0007286,              0.0007286
                     21,                 1.0357,                 1.9383,                 1.0495,                 0.4458,                0.31008,                0.20685,                0.14605,                0.97432,                 2.0155,                 1.0379,             0.00071431,             0.00071431,             0.00071431
                     22,                 1.0305,                 1.9381,                 1.0372,                0.60515,                0.25715,                0.21133,                0.14709,                0.97862,                  2.078,                 1.0297,             0.00070003,             0.00070003,             0.00070003
                     23,                  1.033,                  1.882,                 1.0316,                 0.4384,                0.28885,                0.22471,                0.15832,                0.97224,                 1.9855,                 1.0315,             0.00068575,             0.00068575,             0.00068575
                     24,                 1.0334,                 1.8781,                 1.0349,                0.45387,                0.28081,                0.20929,                0.15411,                0.99557,                 2.0462,                 1.0434,             0.00067146,             0.00067146,             0.00067146
                     25,                 1.0161,                 1.8513,                 1.0355,                0.47369,                0.32892,                0.23579,                0.16877,                0.99618,                 1.9506,                 1.0494,             0.00065718,             0.00065718,             0.00065718
                     26,                 1.0075,                 1.7756,                 1.0287,                 0.4906,                0.30569,                0.23454,                0.16738,                0.99901,                 1.8877,                 1.0599,             0.00064289,             0.00064289,             0.00064289
                     27,                 1.0195,                 1.7869,                 1.0324,                0.47271,                0.31493,                0.22819,                0.15839,                0.99297,                 1.9736,                 1.0464,             0.00062861,             0.00062861,             0.00062861
                     28,                  1.015,                 1.7888,                 1.0245,                0.52011,                0.28439,                0.23202,                0.16179,                 1.0243,                 1.9918,                 1.0811,             0.00061432,             0.00061432,             0.00061432
                     29,                0.99417,                 1.7513,                  1.023,                0.44755,                0.29104,                0.24428,                0.17746,                0.98369,                 1.9352,                 1.0568,             0.00060004,             0.00060004,             0.00060004
                     30,                 1.0139,                 1.7334,                 1.0204,                0.43799,                0.30337,                0.22832,                0.16486,                0.98467,                 1.9532,                 1.0575,             0.00058576,             0.00058576,             0.00058576
