train/box_loss,train/cls_loss,train/dfl_loss,precision,recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,batch,momentum,lr0
0.85669,0.99977,0.95824,0.34678,0.30351,0.24929,0.17418,1.0101,1.828,1.099,8,0.9,0.01
0.89124,1.2043,0.99316,0.47067,0.30915,0.26421,0.18436,0.98677,1.7813,1.0836,4,0.9,0.01
0.8466,0.89658,0.95848,0.41502,0.26381,0.25148,0.17913,1.0383,2.004,1.1043,16,0.9,0.01
0.978,1.3762,1.0304,0.44039,0.33452,0.23704,0.17125,1.0275,1.771,1.133,8,0.97,0.01
0.99388,1.5691,1.067,0.40006,0.29165,0.19496,0.14557,1.0275,1.7757,1.1264,4,0.97,0.01
0.96881,1.2582,1.0159,0.425,0.32795,0.23366,0.16883,1.0798,1.8201,1.1588,16,0.97,0.01
0.90769,1.1035,0.98366,0.45185,0.29748,0.25749,0.19034,0.99545,1.7217,1.0839,8,0.937,0.01
0.92601,1.3238,1.0088,0.44924,0.35515,0.24953,0.18064,1.0047,1.7615,1.0951,4,0.937,0.01
0.87067,0.95617,0.97348,0.27616,0.33366,0.24586,0.183,1.0411,1.8704,1.1104,16,0.937,0.01
0.88955,1.0523,0.97227,0.34695,0.28918,0.24519,0.18277,0.99549,1.8727,1.0946,8,0.9,0.015
0.91325,1.2731,1.0104,0.71472,0.22165,0.27252,0.19823,0.9771,1.745,1.079,4,0.9,0.015
0.88637,0.99473,0.97751,0.23559,0.28316,0.2026,0.1414,1.0572,1.9299,1.1106,16,0.9,0.015
0.99581,1.5144,1.0685,0.333,0.28063,0.18567,0.13917,1.0741,1.807,1.1585,8,0.97,0.015
1.0081,1.6453,1.0896,0.43032,0.28001,0.19589,0.145,1.0752,1.8067,1.1792,4,0.97,0.015
0.98081,1.407,1.0497,0.48882,0.25045,0.2013,0.14874,1.1046,1.8146,1.1805,16,0.97,0.015
0.97166,1.3415,1.0377,0.43387,0.24328,0.21834,0.15463,1.0589,1.747,1.1352,8,0.937,0.015
0.95792,1.4792,1.0422,0.40945,0.32135,0.23444,0.17841,1.0047,1.7628,1.1219,4,0.937,0.015
0.91859,1.1304,1.0081,0.30902,0.31461,0.2461,0.17863,1.1044,1.9155,1.1587,16,0.937,0.015
0.94811,1.7803,0.98792,0.43732,0.30743,0.22547,0.16736,0.91833,1.9829,1.0215,8,0.9,0.001
0.95642,1.9482,1.0074,0.6357,0.25321,0.25093,0.18701,0.90523,1.9683,1.0263,4,0.9,0.001
0.92236,1.6394,0.98617,0.2638,0.33538,0.22774,0.17004,0.938,2.0624,1.0243,16,0.9,0.001
0.87489,1.2726,0.95871,0.31053,0.31309,0.28406,0.2087,0.95534,1.8835,1.046,8,0.97,0.001
0.89731,1.4439,0.98157,0.52826,0.30407,0.27568,0.20675,0.92454,1.8551,1.041,4,0.97,0.001
0.86124,1.1619,0.96389,0.54505,0.27023,0.23384,0.1702,0.99126,2.069,1.0489,16,0.97,0.001
0.90961,1.5438,0.97129,0.47993,0.29301,0.25258,0.18442,0.93138,1.9438,1.0479,8,0.937,0.001
0.92953,1.742,0.99232,0.57455,0.30585,0.25459,0.18854,0.91964,1.8962,1.0319,4,0.937,0.001
0.88878,1.4347,0.97704,0.31685,0.31525,0.23806,0.17352,0.94844,2.0429,1.0399,16,0.937,0.001
