                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6276,                 2.5261,                 1.3683,                0.35897,                0.06526,                0.01681,                0.01087,                 2.0924,                 22.211,                 2.4515,                 0.0704,              0.0032889,              0.0032889
                      2,                 1.8034,                 2.7368,                 1.5924,                0.18951,                0.13236,                0.00948,                0.00425,                 2.2355,                    inf,                 2.4228,               0.040334,              0.0065567,              0.0065567
                      3,                  1.816,                 2.7509,                 1.6211,                0.40511,                0.08643,                0.02905,                0.01649,                 2.1568,                 8.1077,                 2.0888,               0.010203,              0.0097584,              0.0097584
                      4,                 1.8086,                  2.713,                 1.5867,                0.38658,                0.10769,                0.03815,                0.01953,                 1.8913,                 5.7358,                 1.7443,               0.009703,               0.009703,               0.009703
                      5,                 1.7257,                 2.6083,                 1.5302,                0.41243,                0.12302,                0.04445,                0.02416,                 1.8138,                 3.5196,                  1.692,               0.009703,               0.009703,               0.009703
                      6,                 1.6733,                 2.5552,                 1.5045,                0.44326,                0.10133,                  0.065,                0.03735,                   1.68,                 2.8179,                 1.6009,               0.009604,               0.009604,               0.009604
                      7,                 1.6024,                 2.4961,                 1.4622,                0.26953,                0.10901,                0.07691,                0.04791,                 1.6936,                 2.7794,                 1.5817,               0.009505,               0.009505,               0.009505
                      8,                 1.6068,                 2.4226,                 1.4614,                0.42284,                0.16677,                0.07083,                0.04306,                  1.597,                   2.77,                 1.5479,               0.009406,               0.009406,               0.009406
                      9,                 1.5964,                 2.4136,                 1.4778,                0.42861,                0.14077,                0.07635,                0.04822,                 1.5454,                  2.653,                 1.5118,               0.009307,               0.009307,               0.009307
                     10,                  1.538,                 2.3787,                 1.4135,                0.42562,                 0.1413,                  0.079,                0.04998,                 1.5111,                  2.483,                 1.4437,               0.009208,               0.009208,               0.009208
                     11,                 1.5195,                 2.3517,                 1.4025,                0.32636,                0.13254,                0.07945,                0.04973,                  1.575,                 2.5293,                 1.4902,               0.009109,               0.009109,               0.009109
                     12,                 1.5062,                 2.3709,                 1.3885,                0.61737,                0.14411,                0.08175,                0.05119,                 1.4693,                  2.475,                 1.4187,                0.00901,                0.00901,                0.00901
                     13,                 1.4878,                 2.3331,                 1.3893,                0.47652,                0.13702,                0.07938,                 0.0518,                 1.4756,                 2.4432,                 1.4283,               0.008911,               0.008911,               0.008911
                     14,                 1.4661,                 2.2919,                 1.3754,                0.43984,                0.14752,                0.08192,                0.05251,                 1.4382,                 2.4267,                 1.4308,               0.008812,               0.008812,               0.008812
                     15,                 1.4616,                 2.2666,                 1.3632,                0.47076,                0.15194,                0.09316,                0.06228,                 1.4334,                 2.3137,                 1.3872,               0.008713,               0.008713,               0.008713
                     16,                 1.4643,                 2.2925,                 1.3757,                0.46545,                  0.192,                0.08926,                0.05525,                 1.4233,                 2.4345,                 1.3953,               0.008614,               0.008614,               0.008614
