                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1036,                 1.7491,                 1.1512,                0.47952,                0.18999,                0.17256,                0.12146,                 1.2357,                 2.0421,                 1.3137,                 0.0704,              0.0032889,              0.0032889
                      2,                 1.1595,                 1.8659,                 1.1745,                0.14329,                0.21846,                0.12343,                0.08541,                 1.3224,                 2.1927,                 1.3838,               0.040334,              0.0065567,              0.0065567
                      3,                 1.2596,                 1.9249,                 1.2369,                0.05556,                0.24644,                0.05342,                0.03229,                  1.395,                 4.3363,                 1.4221,               0.010203,              0.0097584,              0.0097584
                      4,                 1.2913,                 2.0036,                 1.2503,                0.28908,                0.15798,                0.07924,                0.04885,                 1.4128,                  2.521,                 1.4096,               0.009703,               0.009703,               0.009703
                      5,                  1.308,                 1.9804,                 1.2861,                0.36093,                0.17483,                0.11915,                0.07587,                 1.4729,                 2.3117,                 1.4342,               0.009703,               0.009703,               0.009703
                      6,                 1.3025,                 1.9942,                 1.2556,                0.31736,                0.17876,                0.12358,                0.08075,                 1.3811,                 2.2354,                 1.3822,               0.009604,               0.009604,               0.009604
                      7,                  1.272,                 1.9432,                 1.2376,                0.32334,                0.18977,                0.11392,                0.07328,                 1.3639,                 2.4813,                 1.3723,               0.009505,               0.009505,               0.009505
                      8,                 1.2767,                 1.9608,                 1.2566,                0.31247,                0.20907,                0.16823,                0.11431,                 1.3876,                 2.2033,                 1.3569,               0.009406,               0.009406,               0.009406
                      9,                 1.2521,                 1.9348,                 1.2339,                0.29037,                0.37467,                0.17379,                0.12395,                 1.3213,                 2.1319,                 1.3376,               0.009307,               0.009307,               0.009307
                     10,                 1.2449,                 1.9243,                 1.2346,                0.35629,                0.35303,                0.18166,                 0.1308,                 1.3286,                 2.0727,                 1.3762,               0.009208,               0.009208,               0.009208
                     11,                 1.2608,                 1.9908,                 1.2464,                0.33142,                0.20249,                0.12455,                 0.0813,                 1.3651,                 2.1262,                 1.3786,               0.009109,               0.009109,               0.009109
                     12,                 1.2464,                 1.9237,                 1.2362,                0.38639,                 0.2135,                0.13989,                0.09086,                 1.3499,                  2.069,                  1.353,                0.00901,                0.00901,                0.00901
                     13,                 1.2306,                 1.8989,                 1.2291,                0.49251,                0.20782,                0.13946,                0.09653,                 1.3634,                 2.1217,                 1.3598,               0.008911,               0.008911,               0.008911
                     14,                 1.2127,                 1.8829,                 1.2056,                0.45661,                0.18231,                0.11721,                0.07706,                 1.3132,                 2.3568,                 1.3531,               0.008812,               0.008812,               0.008812
                     15,                 1.2311,                 1.8676,                 1.2043,                0.16262,                0.41916,                0.14717,                0.10518,                 1.3143,                  2.094,                 1.3348,               0.008713,               0.008713,               0.008713
                     16,                 1.2161,                 1.8521,                  1.204,                0.54706,                0.18595,                 0.1868,                0.13782,                 1.3234,                 2.0371,                 1.3531,               0.008614,               0.008614,               0.008614
                     17,                 1.2161,                 1.8582,                 1.2101,                0.55066,                0.19766,                0.13678,                0.09483,                 1.2147,                 2.0549,                 1.2645,               0.008515,               0.008515,               0.008515
