                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.2083,                 4.3432,                 3.4985,                  7e-05,                0.00265,                  3e-05,                  1e-05,                 4.1941,                 263.49,                 10.563,                 0.0704,              0.0032889,              0.0032889
                      1,                   3.06,                 4.0532,                 3.1368,                  7e-05,                0.00265,                  3e-05,                  1e-05,                 3.8876,                    inf,                   6.52,               0.040334,              0.0065567,              0.0065567
                      2,                 3.0026,                 3.9794,                 3.0091,                0.00036,                  0.066,                0.00044,                0.00013,                 3.6906,                 5.2137,                 8.6336,               0.010203,              0.0097584,              0.0097584
                      3,                 2.9388,                 3.8615,                 2.8779,                0.00303,                0.00539,                0.00163,                0.00039,                 3.9011,                 5.3471,                 25.536,               0.009703,               0.009703,               0.009703
                      4,                 2.8168,                 3.7674,                 2.7593,                0.17651,                0.01832,                0.00212,                0.00087,                  3.639,                    inf,                  21.27,               0.009703,               0.009703,               0.009703
                      5,                  2.764,                  3.722,                 2.7397,                0.00086,                  0.087,                0.00087,                0.00024,                 2.9545,                 4.4105,                 4.9301,               0.009604,               0.009604,               0.009604
                      6,                 2.6754,                 3.6595,                  2.632,                0.20044,                0.04464,                0.00817,                 0.0027,                 2.8558,                  24.13,                 3.2034,               0.009505,               0.009505,               0.009505
                      7,                 2.6183,                 3.5883,                 2.5632,                 0.1697,                0.00275,                0.00026,                  9e-05,                 3.1881,                 156.89,                 4.9903,               0.009406,               0.009406,               0.009406
                      8,                 2.5562,                  3.554,                 2.5297,                0.35723,                0.02157,                0.02326,                0.01031,                 2.7475,                 5.4076,                 3.1779,               0.009307,               0.009307,               0.009307
                      9,                 2.5569,                 3.5214,                 2.4259,                0.19288,                0.03061,                0.01043,                0.00361,                 3.1214,                 3.9281,                 2.7829,               0.009208,               0.009208,               0.009208
                     10,                 2.5354,                 3.5141,                 2.4413,                  0.516,                0.03419,                 0.0194,                0.00757,                 2.6877,                 9.1527,                  3.159,               0.009109,               0.009109,               0.009109
                     11,                 2.5051,                 3.4657,                 2.3792,                0.37301,                0.03031,                0.01563,                0.00548,                 3.0034,                 6.8086,                 4.8367,                0.00901,                0.00901,                0.00901
                     12,                 2.4586,                  3.415,                 2.3857,                0.39562,                0.02461,                0.01405,                0.00495,                 2.8443,                 8.3264,                 3.1185,               0.008911,               0.008911,               0.008911
                     13,                   2.45,                 3.4115,                 2.3888,                0.05523,                0.06803,                0.01757,                0.00734,                 2.7409,                 3.7238,                 2.7731,               0.008812,               0.008812,               0.008812
                     14,                  2.442,                 3.3932,                 2.3375,                0.00411,                0.16649,                0.00836,                0.00276,                 2.9469,                 4.0773,                 8.2875,               0.008713,               0.008713,               0.008713
