                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2975,                 3.9648,                 1.1585,                0.61794,                0.01385,                0.06537,                0.04632,                 1.0435,                 3.3282,                 1.0671,                 0.0704,              0.0032889,              0.0032889
                      1,                 1.2543,                 2.7624,                 1.1593,                0.44899,                0.14526,                0.08584,                 0.0584,                 1.2131,                 2.6582,                  1.136,               0.040334,              0.0065567,              0.0065567
                      2,                 1.2864,                 2.6412,                 1.1863,                0.41492,                0.13167,                0.06067,                0.03951,                 1.3795,                  3.175,                 1.3146,               0.010203,              0.0097584,              0.0097584
                      3,                 1.3923,                 2.6263,                 1.2077,                0.28262,                0.20918,                0.08552,                0.05087,                 1.4216,                 2.7692,                 1.2953,               0.009703,               0.009703,               0.009703
                      4,                 1.4046,                 2.5562,                 1.2324,                0.44713,                0.15759,                0.08058,                0.05138,                 1.3833,                 3.4511,                 1.3134,               0.009703,               0.009703,               0.009703
                      5,                 1.4045,                 2.4903,                 1.2365,                0.49171,                0.15774,                0.09375,                 0.0574,                 1.3933,                 2.7992,                 1.3055,               0.009604,               0.009604,               0.009604
                      6,                 1.3732,                 2.4395,                 1.2167,                0.42279,                0.19244,                0.11511,                0.07154,                 1.4147,                 2.5175,                   1.34,               0.009505,               0.009505,               0.009505
                      7,                 1.3579,                 2.3222,                 1.2118,                0.46554,                0.19069,                0.08902,                 0.0549,                 1.4102,                 2.6536,                 1.3409,               0.009406,               0.009406,               0.009406
                      8,                 1.3507,                 2.3168,                 1.2185,                0.48009,                0.17859,                0.11279,                 0.0727,                 1.3662,                  2.493,                 1.2605,               0.009307,               0.009307,               0.009307
                      9,                 1.3554,                  2.241,                 1.2027,                0.47394,                0.16726,                0.10763,                0.07129,                 1.3485,                 2.3067,                 1.2531,               0.009208,               0.009208,               0.009208
                     10,                 1.3144,                 2.1975,                 1.1873,                0.32849,                0.22376,                0.12672,                0.08455,                 1.3092,                 2.2629,                 1.2372,               0.009109,               0.009109,               0.009109
                     11,                 1.3029,                 2.1449,                 1.1857,                0.53023,                0.16032,                0.14543,                0.09826,                 1.3888,                 2.2893,                 1.2751,                0.00901,                0.00901,                0.00901
                     12,                 1.2761,                 2.1035,                 1.1784,                0.50156,                0.21947,                0.15141,                0.10099,                 1.3121,                 2.1965,                 1.2413,               0.008911,               0.008911,               0.008911
                     13,                 1.2686,                 2.0481,                 1.1678,                0.52949,                0.24968,                0.14609,                0.09851,                 1.3288,                 2.2414,                 1.2546,               0.008812,               0.008812,               0.008812
                     14,                 1.2826,                 2.0721,                 1.1585,                0.42465,                0.19478,                0.13215,                0.08534,                 1.2777,                 2.1499,                  1.229,               0.008713,               0.008713,               0.008713
                     15,                  1.277,                 2.0303,                 1.1726,                 0.5214,                 0.1887,                0.15489,                  0.109,                  1.245,                 2.1169,                 1.1886,               0.008614,               0.008614,               0.008614
                     16,                 1.2693,                 2.0387,                 1.1773,                0.51329,                0.20062,                0.14987,                0.10145,                 1.2439,                 2.2018,                 1.1908,               0.008515,               0.008515,               0.008515
                     17,                 1.2648,                 1.9763,                 1.1526,                0.49304,                0.20266,                0.12717,                0.08282,                 1.2584,                 2.1472,                 1.2044,               0.008416,               0.008416,               0.008416
                     18,                 1.2323,                 1.9435,                 1.1548,                0.46056,                0.21485,                0.17151,                0.11233,                 1.2438,                 2.0854,                 1.1932,               0.008317,               0.008317,               0.008317
                     19,                 1.2313,                 1.9074,                 1.1345,                 0.5972,                0.19744,                0.17632,                0.12154,                 1.2082,                  1.997,                 1.1783,               0.008218,               0.008218,               0.008218
                     20,                 1.2086,                 1.8741,                 1.1255,                0.40753,                0.24364,                0.16132,                0.10967,                 1.2236,                 2.0958,                 1.1992,               0.008119,               0.008119,               0.008119
                     21,                 1.1711,                 1.8432,                 1.1325,                0.35939,                0.26417,                0.16154,                0.10672,                 1.2259,                 2.1404,                 1.2044,                0.00802,                0.00802,                0.00802
                     22,                 1.1999,                 1.8223,                 1.1309,                0.53871,                0.22286,                 0.1835,                0.13044,                 1.2196,                  2.039,                  1.184,               0.007921,               0.007921,               0.007921
